text,label
Congratulations! You've won a $1000 Walmart gift card. Click here to claim your prize.,1
"Hey, can we schedule a meeting for tomorrow at 10 AM?",0
URGENT: Your bank account has been compromised. Click here to secure your account.,1
"Hi John, I wanted to follow up on the report. Let me know if you need any help.",0
Get a free iPhone today! Click here to claim your prize.,1
Reminder: Your appointment is scheduled for tomorrow at 2 PM.,0
Your Netflix subscription has expired. Click here to renew.,1
Can you send me the updated project plan by EOD?,0
Win a free trip to Hawaii! Click here to enter.,1
Let's catch up over coffee this weekend.,0
Limited time offer: Get 50% off on all products. Shop now!,1
"Hi team, don't forget the weekly stand-up meeting at 9 AM.",0
Your PayPal account has been locked. Click here to unlock.,1
Can you review the attached document and provide feedback?,0
Claim your $500 Amazon gift card now! Click here.,1
Reminder: Your electricity bill is due tomorrow.,0
Your Apple ID has been locked. Click here to unlock.,1
"Hi, I'm following up on the job application. Let me know if you need more details.",0
Exclusive offer: Get a free Samsung Galaxy phone. Click here!,1
Don't forget to submit your timesheet by Friday.,0
Congratulations! You've been selected for a free cruise. Click here to claim.,1
"Hi, can you send me the latest version of the presentation?",0
URGENT: Your email account has been hacked. Click here to secure it.,1
Let's discuss the project updates in the meeting tomorrow.,0
Get a free $100 Starbucks gift card. Click here to claim.,1
Reminder: Your car insurance is due for renewal next week.,0
Your Facebook account has been compromised. Click here to secure it.,1
Can you share the agenda for the upcoming team meeting?,0
Win a free MacBook Pro! Click here to enter the contest.,1
"Hi, I wanted to check if you received the email I sent yesterday.",0
Limited time offer: Get 70% off on all flights. Book now!,1
Don't forget to bring your laptop to the workshop tomorrow.,0
Your Google account has been locked. Click here to unlock.,1
Can you provide feedback on the draft proposal by tomorrow?,0
Claim your $1000 Best Buy gift card now! Click here.,1
Reminder: Your gym membership is due for renewal.,0
Your Instagram account has been hacked. Click here to secure it.,1
"Hi, can we reschedule the meeting to 3 PM?",0
Exclusive offer: Get a free iPad. Click here to claim!,1
Don't forget to submit your expense report by Friday.,0
Congratulations! You've won a $500 Target gift card. Click here to claim.,1
"Hi, can you send me the contact details for the client?",0
URGENT: Your LinkedIn account has been compromised. Click here to secure it.,1
Let's discuss the budget for the next quarter in the meeting.,0
Get a free $200 Amazon gift card. Click here to claim.,1
Reminder: Your phone bill is due tomorrow.,0
Your Twitter account has been locked. Click here to unlock.,1
Can you share the minutes of the last meeting?,0
Win a free PlayStation 5! Click here to enter the contest.,1
"Hi, I wanted to confirm the time for the interview tomorrow.",0
Limited time offer: Get 60% off on all hotels. Book now!,1
Don't forget to bring your ID to the event tomorrow.,0
Your Microsoft account has been hacked. Click here to secure it.,1
Can you send me the updated project timeline?,0
Claim your $750 Walmart gift card now! Click here.,1
Reminder: Your internet bill is due next week.,0
Your YouTube account has been compromised. Click here to secure it.,1
"Hi, can we move the meeting to 11 AM?",0
Exclusive offer: Get a free smartwatch. Click here to claim!,1
Don't forget to submit your vacation request by Friday.,0
Congratulations! You've won a $1000 Visa gift card. Click here to claim.,1
"Hi, can you send me the details for the conference?",0
URGENT: Your Dropbox account has been hacked. Click here to secure it.,1
Let's discuss the marketing strategy in the meeting tomorrow.,0
Get a free $300 eBay gift card. Click here to claim.,1
Reminder: Your water bill is due tomorrow.,0
Your Snapchat account has been locked. Click here to unlock.,1
Can you share the sales report for the last quarter?,0
Win a free Nintendo Switch! Click here to enter the contest.,1
"Hi, I wanted to confirm the venue for the event.",0
Limited time offer: Get 80% off on all car rentals. Book now!,1
Don't forget to bring your notebook to the training session.,0
Your Pinterest account has been hacked. Click here to secure it.,1
Can you send me the updated budget for the project?,0
Claim your $1000 Costco gift card now! Click here.,1
Reminder: Your gas bill is due next week.,0
Your TikTok account has been compromised. Click here to secure it.,1
"Hi, can we reschedule the call to 4 PM?",0
Exclusive offer: Get a free drone. Click here to claim!,1
Don't forget to submit your timesheet by Friday.,0
Congratulations! You've won a $500 Home Depot gift card. Click here to claim.,1
"Hi, can you send me the agenda for the workshop?",0
URGENT: Your iCloud account has been hacked. Click here to secure it.,1
Let's discuss the new product launch in the meeting tomorrow.,0
Get a free $400 Walmart gift card. Click here to claim.,1
Reminder: Your electricity bill is due tomorrow.,0
Your WhatsApp account has been locked. Click here to unlock.,1
Can you share the progress report for the project?,0
Win a free Xbox Series X! Click here to enter the contest.,1
"Hi, I wanted to confirm the time for the presentation.",0
Limited time offer: Get 90% off on all flights. Book now!,1
Don't forget to bring your laptop to the workshop tomorrow.,0
Your Skype account has been hacked. Click here to secure it.,1
Can you send me the updated project plan?,0
Claim your $1000 Amazon gift card now! Click here.,1
Reminder: Your gym membership is due for renewal.,0
Your Zoom account has been compromised. Click here to secure it.,1
"Hi, can we move the meeting to 2 PM?",0
Exclusive offer: Get a free laptop. Click here to claim!,1
Don't forget to submit your expense report by Friday.,0
Congratulations! You've won a $500 Lowe's gift card. Click here to claim your prize.,1
"Hi, can you send me the updated project timeline?",0
URGENT: Your Amazon account has been compromised. Click here to secure it.,1
Let's discuss the new marketing campaign in the meeting tomorrow.,0
Get a free $200 Target gift card. Click here to claim.,1
Reminder: Your phone bill is due tomorrow.,0
Your Google account has been locked. Click here to unlock.,1
Can you share the agenda for the upcoming team meeting?,0
Win a free PlayStation 5! Click here to enter the contest.,1
"Hi, I wanted to confirm the time for the interview tomorrow.",0
Limited time offer: Get 60% off on all hotels. Book now!,1
Don't forget to bring your ID to the event tomorrow.,0
Your Microsoft account has been hacked. Click here to secure it.,1
Can you send me the updated project timeline?,0
Claim your $750 Walmart gift card now! Click here.,1
Reminder: Your internet bill is due next week.,0
Your YouTube account has been compromised. Click here to secure it.,1
"Hi, can we move the meeting to 11 AM?",0
Exclusive offer: Get a free smartwatch. Click here to claim!,1
Don't forget to submit your vacation request by Friday.,0
Congratulations! You've won a $1000 Visa gift card. Click here to claim.,1
"Hi, can you send me the details for the conference?",0
URGENT: Your Dropbox account has been hacked. Click here to secure it.,1
Let's discuss the marketing strategy in the meeting tomorrow.,0
Get a free $300 eBay gift card. Click here to claim.,1
Reminder: Your water bill is due tomorrow.,0
Your Snapchat account has been locked. Click here to unlock.,1
Can you share the sales report for the last quarter?,0
Win a free Nintendo Switch! Click here to enter the contest.,1
"Hi, I wanted to confirm the venue for the event.",0
Limited time offer: Get 80% off on all car rentals. Book now!,1
Don't forget to bring your notebook to the training session.,0
Your Pinterest account has been hacked. Click here to secure it.,1
